Name,Phone,ExtId__c,SampleText__c,SourceField__c
California Counter,0372525328,1,0372525328,
California Cymbal,0320249424,2,0320249424,
Ohana Omega,073142848,3,073142848,
Nerd Nāda,035390570,4,035390570,
Force Fix,0317421309,5,0317421309,
California Connect,0297711603,6,0297711603,
Brain Bishop,0335011944,7,0335011944,
California Crusade,055654509,8,055654509,
California Credible,0764902791,9,0764902791,
Ohana Optimum,0501588403,10,0501588403,
California Creator,0849052705,11,0849052705,
Ohana Optimum,0878965364,12,0878965364,
California Clever,0510732619,13,0510732619,
Force Forum,0143576097,14,0143576097,
Brain Buds,0394129279,15,0394129279,
Force Fighter,0348716414,16,0348716414,
Brain Bomb,0359711469,17,0359711469,
Force Fox,0746746105,18,0746746105,
California Crazy,050446228,19,050446228,
Brain Breakdown,0765316073,20,0765316073,
Brain Beta,0782905635,21,0782905635,
Brain Bold,0726332487,22,0726332487,
California Connect,0316908441,23,0316908441,
California Circuit,0219461867,24,0219461867,
Brain Bot,0611442542,25,0611442542,
Nerd Native,0223662071,26,0223662071,
California Clef,0653624874,27,0653624874,
Nerd Natty,0232916356,28,0232916356,
Force Flawless,0523346943,29,0523346943,
California Concept,0293181403,30,0293181403,
Brain Bit,0727561472,31,0727561472,
Nerd Node,092725937,32,092725937,
California Culture,054987968,33,054987968,
California Champion,0877788741,34,0877788741,
Ohana Organic,0791010028,35,0791010028,
Force Fresh,0339138934,36,0339138934,
Force Farm,0121930409,37,0121930409,
California Collusion,0546058048,38,0546058048,
Brain Blur,0402323746,39,0402323746,
Brain Babies,0194921869,40,0194921869,
Force Fusion,0865330717,41,0865330717,
California Cutman,0206446026,42,0206446026,
Force Free,0106281396,43,0106281396,
California Classic,0204338354,44,0204338354,
Brain Buff,0749491254,45,0749491254,
California Create,0358201862,46,0358201862,
Brain Bastion,0827476366,47,0827476366,
California Creators,0383746924,48,0383746924,
California Creativo,0523783988,49,0523783988,
Brain Brig,086453613,50,086453613,
California Complete,0294287396,51,0294287396,
California Comfort,0372590268,52,0372590268,
Brain Boho,0327876911,53,0327876911,
Brain Burnout,0159823905,54,0159823905,
Nerd National,0303273173,55,0303273173,
California Chief,0213490091,56,0213490091,
Brain Brazen,0263045214,57,0263045214,
Brain Blush,0242931318,58,0242931318,
Brain Backyard,054242534,59,054242534,
California Cove,0883227702,60,0883227702,
California Carrier,0374320469,61,0374320469,
California Crazy,093263064,62,093263064,
California Capital,0434787753,63,0434787753,
Force Focus,0842582301,64,0842582301,
Nerd Nibble,088330307,65,088330307,
California Calm,072158462,66,072158462,
Brain Baker,0209728102,67,0209728102,
Force Flax,0272315204,68,0272315204,
California Catalyst,0829902234,69,0829902234,
Force Flair,0463021143,70,0463021143,
Force Fission,0375696436,71,0375696436,
Force Fad,0715029525,72,0715029525,
Force Fluid,0796853961,73,0796853961,
California Crumble,0356382588,74,0356382588,
Brain Bros,0774011291,75,0774011291,
California Corral,0148201315,76,0148201315,
Ohana Of The Day,0706864960,77,0706864960,
California Colossal,0631067809,78,0631067809,
Ohana Oasis,0316012551,79,0316012551,
California Cuddly,0572369727,80,0572369727,
Force Fiscal,0342921268,81,0342921268,
Nerd Naked,0233468281,82,0233468281,
Nerd Naked,0764198525,83,0764198525,
California Cloud,0410289965,84,0410289965,
Force Forage,0114548696,85,0114548696,
Force Faithful,0832806039,86,0832806039,
Force First,0829787799,87,0829787799,
California Castle,0277794077,88,0277794077,
California Classic,020896980,89,020896980,
Force Farmer,0309276752,90,0309276752,
Brain Brigade,092738830,91,092738830,
Brain Build,0105171620,92,0105171620,
Brain Beguiling,0348710334,93,0348710334,
California Commando,0814088476,94,0814088476,
California Chomp,0223796311,95,0223796311,
California Cyper,0759072953,96,0759072953,
Nerd Naturally,0163317075,97,0163317075,
California Creatives,0525666720,98,0525666720,
Brain Brilliant,0389792374,99,0389792374,
California Capital,0239254590,100,0239254590,
Force Food,0753994062,101,0753994062,
California Coco,0214675429,102,0214675429,
Force Factory,0353216902,103,0353216902,
Force Flash,0301927756,104,0301927756,
Force Frost,0376409202,105,0376409202,
California Comfort,0522007226,106,0522007226,
California Companions,034980463,107,034980463,
Ohana Ori,0592037163,108,0592037163,
Force Fast,0448525262,109,0448525262,
Brain Bonjour,095329389,110,095329389,
Nerd Natural,0750488717,111,0750488717,
Brain Bless,0660286946,112,0660286946,
California Consulting,0553093106,113,0553093106,
Force Faith,0502031955,114,0502031955,
Force Flow,0290942237,115,0290942237,
Force Fawn,0856307577,116,0856307577,
California Cozy,0897240239,117,0897240239,
Brain Bay,0696479479,118,0696479479,
Force Food,0886083888,119,0886083888,
Force Form,0351353678,120,0351353678,
Force Feed,0844842214,121,0844842214,
Brain Boo,0899388686,122,0899388686,
Brain Blur,0512985750,123,0512985750,
Ohana Ora,0130529913,124,0130529913,
California Capsule,0438653648,125,0438653648,
Brain Branch,0663769376,126,0663769376,
California Cause,0827292907,127,0827292907,
Force Fair,0746245160,128,0746245160,
Force Form,0578460018,129,0578460018,
Force Flourish,0364638719,130,0364638719,
Brain Bloom,0830154614,131,0830154614,
Force Froglet,0738668736,132,0738668736,
California Clutch,0175703158,133,0175703158,
California Crux,0519933376,134,0519933376,
Force Fairy,0467576588,135,0467576588,
California Core,0478717664,136,0478717664,
Brain Beans,0833518035,137,0833518035,
Force Fairy,0257231001,138,0257231001,
Force Finesse,0162450352,139,0162450352,
Brain Boulder,0794695073,140,0794695073,
Brain Bewitch,0556859905,141,0556859905,
Brain Bishop,0532314011,142,0532314011,
California Cent,0673647222,143,0673647222,
Nerd Nourish,0187622492,144,0187622492,
Force Fleet,0783470949,145,0783470949,
Force Friendly,0886622140,146,0886622140,
Force Fable,0354385485,147,0354385485,
Brain Blossom,0226932683,148,0226932683,
Force Fisheye,0424254841,149,0424254841,
Force Flair,0716149886,150,0716149886,
Brain Balaji,0858123556,151,0858123556,
Brain Bod,0702217745,152,0702217745,
Nerd Nursery,0237720397,153,0237720397,
Ohana Origin,084129014,154,084129014,
California Customs,0734809314,155,0734809314,
Brain Bobble,0460175906,156,0460175906,
Brain Buggy,0216057723,157,0216057723,
Brain Blaze,0503811377,158,0503811377,
California Cellar,0338484183,159,0338484183,
Brain Bright,0318441430,160,0318441430,
Brain Bigger,0656093351,161,0656093351,
Force Fodder,0540377873,162,0540377873,
California Climate,0883382327,163,0883382327,
Force Fortune,088520702,164,088520702,
Brain Bridal,0152452254,165,0152452254,
California Circuit,0506458571,166,0506458571,
California Cold,073985409,167,073985409,
Brain Bench,0190485442,168,0190485442,
Ohana Ogre,0523917665,169,0523917665,
California Cache,0830002645,170,0830002645,
Brain Blush,0446877767,171,0446877767,
California Capital,0615944978,172,0615944978,
Brain Boom,03070169,173,03070169,
California Crafty,0660833783,174,0660833783,
Force Forage,0410001015,175,0410001015,
Nerd Native,0859978977,176,0859978977,
Force Flamingo,0106103151,177,0106103151,
Force Fireside,0547950286,178,0547950286,
California Collab,0515785302,179,0515785302,
Force Functional,034998015,180,034998015,
Force Frat,0539654106,181,0539654106,
California Cloud,0863475688,182,0863475688,
Brain Boy,0158639165,183,0158639165,
California Check,099908627,184,099908627,
Force Fulgent,0194556839,185,0194556839,
Brain Blended,0271139425,186,0271139425,
Force Freeze,0444408398,187,0444408398,
Brain Burner,0886495268,188,0886495268,
California Cut,0522611568,189,0522611568,
California Crest,0837263824,190,0837263824,
Force Foliage,039667992,191,039667992,
California Circles,081591691,192,081591691,
California Crib,0491785996,193,0491785996,
California Cookie,0360457057,194,0360457057,
Nerd Natty,0172090968,195,0172090968,
California Classy,0728398899,196,0728398899,
California Check,0567702074,197,0567702074,
Force Fans,0752558912,198,0752558912,
Brain Butterfly,0219640786,199,0219640786,
California Captain,0243217915,200,0243217915,
Counter California,0372525328,201,0372525328,
Cymbal California,0320249424,202,0320249424,
Omega Ohana,073142848,203,073142848,
Nāda Nerd,035390570,204,035390570,
Fix Force,0317421309,205,0317421309,
Connect California,0297711603,206,0297711603,
Bishop Brain,0335011944,207,0335011944,
Crusade California,055654509,208,055654509,
Credible California,0764902791,209,0764902791,
Optimum Ohana,0501588403,210,0501588403,
Creator California,0849052705,211,0849052705,
Optimum Ohana,0878965364,212,0878965364,
Clever California,0510732619,213,0510732619,
Forum Force,0143576097,214,0143576097,
Buds Brain,0394129279,215,0394129279,
Fighter Force,0348716414,216,0348716414,
Bomb Brain,0359711469,217,0359711469,
Fox Force,0746746105,218,0746746105,
Crazy California,050446228,219,050446228,
Breakdown Brain,0765316073,220,0765316073,
Beta Brain,0782905635,221,0782905635,
Bold Brain,0726332487,222,0726332487,
Connect California,0316908441,223,0316908441,
Circuit California,0219461867,224,0219461867,
Bot Brain,0611442542,225,0611442542,
Native Nerd,0223662071,226,0223662071,
Clef California,0653624874,227,0653624874,
Natty Nerd,0232916356,228,0232916356,
Flawless Force,0523346943,229,0523346943,
Concept California,0293181403,230,0293181403,
Bit Brain,0727561472,231,0727561472,
Node Nerd,092725937,232,092725937,
